2022-04-24 15:19:34.453 INFO  [27083] [Server::run@539] Server listening on localhost:1234
2022-04-24 15:19:37.432 INFO  [27087] [SGXORAMService::init_enclave@179] Trying to initialize the enclave with id 0
2022-04-24 15:19:38.433 DEBUG [27087] [ocall_printf@41] [enclave] Initializing crypto manager

2022-04-24 15:19:38.434 DEBUG [27087] [ocall_printf@41] [enclave] Initializing the remote attestation context...
2022-04-24 15:19:38.440 INFO  [27087] [SGXORAMService::generate_session_key@212] Begin to generate DH key pair...
2022-04-24 15:19:38.440 DEBUG [27087] [ocall_printf@41] [enclave] Creating a new ECC system...

2022-04-24 15:19:38.440 DEBUG [27087] [ocall_printf@41] [enclave] Key pair sampled! PK: 5ecdbad5a4d8132bb2e5e347e8a8f5fd8956971b9901b4e18070b120a5c485b9cc88887aaeb3207118479542a4ed188770f6af6b5588c0f544a22e0e4154b43a, SK: 335b2ff9e2c187958165bc9f387a4a4bed1be8fcc7407ae79701d0da5152d3ac
2022-04-24 15:19:38.443 INFO  [27177] [SGXORAMService::generate_session_key@212] Begin to generate DH key pair...
2022-04-24 15:19:38.443 DEBUG [27177] [SGXORAMService::generate_session_key@240] In server runner: 2721a8a77125e6fb580da3267303eadae3d3aaeec90637d10bb58e26c1b4be834d18049d052e75b762ee7b147e6c412e427bdb9c302fa9828ac38c011141e560
2022-04-24 15:19:38.443 DEBUG [27177] [ocall_printf@41] [enclave] Client public key: 2721a8a77125e6fb580da3267303eadae3d3aaeec90637d10bb58e26c1b4be834d18049d052e75b762ee7b147e6c412e427bdb9c302fa9828ac38c011141e560
2022-04-24 15:19:38.444 DEBUG [27177] [ocall_printf@41] [enclave] Shared key computed: ba93fc496ec93dd081be98778b2f2548240481bf78ff09626bb57a7542fc00c4
2022-04-24 15:19:38.444 DEBUG [27177] [ocall_printf@41] [enclave] The session key is established! The key is c503ca2b7d7db68ce18c80c4531b0126
2022-04-24 15:19:38.494 DEBUG [27087] [SGXORAMService::check_verification_message@570] The verification message is c4ee613908a6fd7e49d3328e11ef78693d45a6fed49ae14cbdf10a83e792cd1126
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] Decrypted message: Hello
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] The verification message is correct!
2022-04-24 15:19:38.494 INFO  [27087] [SGXORAMService::check_verification_message@579] The server has successfully verified the secret data.
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@47] ORAM Configuration:
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@48]   way: 16
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@49]   number: 200000
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@50]   bucket_size: 32
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@51]   type: 2
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@52]   constant: 1
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@53]   round: 1
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@54]   level: 5
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@55]   oram_type: 1
2022-04-24 15:19:38.494 DEBUG [27087] [SGXORAMService::init_oram@487] The server has properly configured the ORAM.
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] Setting oram config...
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] Initializing the slot...
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] oram_type is 1.
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] The ORAM controller is initializing the SGX storage tree level by level...

2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] The size of the ORAM tree is 5242880.

2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] The bucket size is 32
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] The ORAM controller is initializing the SGX storage slots for each level...

2022-04-24 15:19:38.495 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 91580af1dadac71e6a0ae45809b7fd13d42079f9647ad1844297d49601ee714c
2022-04-24 15:19:38.509 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: f952d13ffd28209d5b18255009046b0fc86a408b20861c46f6843b78725b9f69
2022-04-24 15:19:38.518 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 446e0b561297cbf73a08aa12e9dd0af12fa44ecc09fc682743e7d3146e5e3d9b
2022-04-24 15:19:38.527 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 0d1caba67f9dc5038411485e4216e9009cf5d5c441541899d92779abd6f0d7ab
2022-04-24 15:19:38.535 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: cf07e292120207353603b4daa2440b420ce05d2f1b56f551235e8a5f2917495e
2022-04-24 15:19:38.545 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: e3c5e068ac6d275f715fa326ea7dc47aae7508e235a0a8c9dc0a0809e1a4b3fd
2022-04-24 15:19:38.554 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 80c19a8985a55e7a2b273fd9f04ce31a3f55e687656f53cbeb9f7102b4d883bb
2022-04-24 15:19:38.563 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: accdd326e3b5e6b62254fa802c53887cd6e9fa40ec03e55391d75f919261c13e
2022-04-24 15:19:38.572 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 2d3db9cfd6443073a61011859b911843257badeb251764703b2c2f0941a1666f
2022-04-24 15:19:38.582 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 462fef544718a4997bd5c59d9831a398dd0725429ffc94c8efd12e2f11037a4a
2022-04-24 15:19:38.592 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: a0db6fcbed662218ccbdf2b448f140dd4d656aa2217e739d64941281372f5222
2022-04-24 15:19:38.601 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 03bf5465e50dd3c49232da4b84e60bb90098395d076b2b2702fee37fdcb83113
2022-04-24 15:19:38.610 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: a8713e86119431393a63264376576c57af41c3d0ad5ca4b991acca94e96d9764
